,master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
18670,efc9e39a-b167-11e9-89fa-000d3a38a36f,710 days,3.0,170.46,3,3,1,33,need_attention
18671,5969b392-ab88-11e9-a2fc-000d3a38a36f,1563 days,4.0,546.86,1,4,3,14,at_risk
18672,78c64762-615b-11ea-8dd8-000d3a38a36f,459 days,4.0,544.44,5,4,3,54,champions
18673,40bf507e-d705-11e9-93bc-000d3a38a36f,625 days,3.0,255.96999999999997,3,3,1,33,need_attention
18674,3677d748-ad9e-11e9-a2fc-000d3a38a36f,703 days,3.0,254.95000000000002,3,3,1,33,need_attention
18675,c3705d4a-d6b7-11e9-93bc-000d3a38a36f,637 days,5.0,1820.6799999999998,3,4,5,34,loyal_customers
18676,e6287dfe-b213-11e9-89fa-000d3a38a36f,674 days,4.0,429.95000000000005,3,4,2,34,loyal_customers
18677,60bf479e-2769-11ea-aaaa-000d3a38a36f,686 days,11.0,1524.42,3,5,5,35,loyal_customers
18678,ce2cfe56-aa47-11e9-a2fc-000d3a38a36f,1477 days,2.0,129.97,1,2,1,12,hibernating
18679,56b422e4-cc21-11ea-ac21-000d3a38a36f,312 days,2.0,194.98,5,2,1,52,potential_loyalists
18680,598777a4-1c00-11ea-ac4f-000d3a38a36f,587 days,3.0,404.97,4,3,2,43,potential_loyalists
18681,0b164022-2359-11ea-8523-000d3a38a36f,605 days,2.0,444.88,3,2,2,32,about_to_sleep
18682,39d0989c-16e6-11ea-b4ec-000d3a38a36f,563 days,2.0,207.98000000000002,4,2,1,42,potential_loyalists
18683,a0722ff2-9ecc-11ea-80cd-000d3a38a36f,601 days,6.0,790.1,3,4,4,34,loyal_customers
18684,c64dcf9e-9ef3-11e9-9897-000d3a38a36f,2993 days,13.0,1978.17,1,5,5,15,cant_loose
18685,7fd5e7dc-b0f9-11e9-9757-000d3a38a36f,759 days,2.0,439.98,2,2,2,22,hibernating
